T1-AntesDeConectar;T2-AposConectar
1520719169589;1520719172324

Contador;IniLoop;StreamSize;ResponseTime
802;1520719484914;803000;18
803;1520719485274;804000;12
804;1520719485630;805000;11
805;1520719485991;806000;17
806;1520719486347;807000;14
807;1520719486704;808000;13
808;1520719487062;809000;13
809;1520719487419;810000;13
810;1520719487776;811000;13
811;1520719488132;812000;13
812;1520719488488;813000;13
813;1520719488849;814000;16
814;1520719489207;815000;14
815;1520719489563;816000;14
816;1520719489923;817000;13
817;1520719490282;818000;16
818;1520719490638;819000;16
819;1520719490996;820000;14
820;1520719491353;821000;15
821;1520719491710;822000;18
822;1520719492071;823000;13
823;1520719492429;824000;14
824;1520719492787;825000;13
825;1520719493144;826000;14
826;1520719493500;827000;16
827;1520719493857;828000;12
828;1520719494216;829000;17
829;1520719494575;830000;14
830;1520719494930;831000;14
831;1520719495289;832000;17
832;1520719495675;833000;12
833;1520719496037;834000;18
834;1520719496395;835000;15
835;1520719496755;836000;17
836;1520719497123;837000;17
837;1520719497482;838000;13
838;1520719497842;839000;17
839;1520719498199;840000;16
840;1520719498555;841000;13
841;1520719498910;842000;14
842;1520719499265;843000;16
843;1520719499621;844000;14
844;1520719499974;845000;12
845;1520719500329;846000;14
846;1520719500685;847000;14
847;1520719501048;848000;18
848;1520719501401;849000;15
849;1520719501756;850000;13
850;1520719502112;851000;14
851;1520719502471;852000;16
852;1520719502827;853000;15
853;1520719503182;854000;14
854;1520719503538;855000;16
855;1520719503895;856000;15
856;1520719504251;857000;14
857;1520719504606;858000;14
858;1520719504965;859000;16
859;1520719505318;860000;13
860;1520719505676;861000;13
861;1520719506034;862000;15
862;1520719506388;863000;15
863;1520719506747;864000;15
864;1520719507105;865000;17
865;1520719507460;866000;16
866;1520719507818;867000;12
867;1520719508170;868000;13
868;1520719508528;869000;13
869;1520719508886;870000;15
870;1520719509239;871000;15
871;1520719509595;872000;15
872;1520719509950;873000;13
873;1520719510304;874000;15
874;1520719510657;875000;12
875;1520719511013;876000;15
876;1520719511367;877000;14
877;1520719511719;878000;14
878;1520719512075;879000;16
879;1520719512431;880000;14
880;1520719512787;881000;14
881;1520719513145;882000;17
882;1520719513502;883000;17
883;1520719513858;884000;15
884;1520719514212;885000;18
885;1520719514569;886000;16
886;1520719514928;887000;13
887;1520719515279;888000;14
888;1520719515635;889000;13
889;1520719515992;890000;14
890;1520719516346;891000;14
891;1520719516704;892000;16
892;1520719517065;893000;16
893;1520719517420;894000;16
894;1520719517774;895000;15
895;1520719518131;896000;14
896;1520719518486;897000;13
897;1520719518840;898000;16
898;1520719519193;899000;14
899;1520719519548;900000;18
900;1520719519902;901000;15
901;1520719520255;902000;18
902;1520719520610;903000;13
903;1520719520967;904000;19
904;1520719521320;905000;15
905;1520719521675;906000;16
906;1520719522031;907000;16
907;1520719522384;908000;15
908;1520719522742;909000;18
909;1520719523096;910000;14
910;1520719523450;911000;12
911;1520719523806;912000;16
912;1520719524161;913000;18
913;1520719524518;914000;18
914;1520719524874;915000;15
915;1520719525228;916000;14
916;1520719525580;917000;18
917;1520719525933;918000;15
918;1520719526287;919000;18
919;1520719526641;920000;15
920;1520719526997;921000;16
921;1520719527373;922000;19
922;1520719527729;923000;17
923;1520719528133;924000;20
924;1520719528491;925000;19
925;1520719528850;926000;15
926;1520719529227;927000;18
927;1520719529594;928000;19
928;1520719529952;929000;20
929;1520719530305;930000;18
930;1520719530665;931000;18
931;1520719531024;932000;16
932;1520719531375;933000;18
933;1520719531728;934000;15
934;1520719532120;935000;21
935;1520719532474;936000;20
936;1520719532828;937000;15
937;1520719533184;938000;21
938;1520719533536;939000;16
939;1520719533886;940000;15
940;1520719534243;941000;18
941;1520719534598;942000;18
942;1520719534952;943000;17
943;1520719535303;944000;15
944;1520719535654;945000;16
945;1520719536008;946000;16
946;1520719536360;947000;15
947;1520719536712;948000;15
948;1520719537063;949000;14
949;1520719537417;950000;18
950;1520719537769;951000;18
951;1520719538121;952000;15
952;1520719538477;953000;20
953;1520719538831;954000;17
954;1520719539185;955000;13
955;1520719539537;956000;17
956;1520719539890;957000;15
957;1520719540243;958000;16
958;1520719540600;959000;18
959;1520719540953;960000;16
960;1520719541301;961000;15
961;1520719541653;962000;17
962;1520719542004;963000;13
963;1520719542356;964000;16
964;1520719542707;965000;14
965;1520719543063;966000;20
966;1520719543417;967000;18
967;1520719543770;968000;16
968;1520719544120;969000;19
969;1520719544470;970000;15
970;1520719544820;971000;17
971;1520719545171;972000;15
972;1520719545526;973000;18
973;1520719545880;974000;17
974;1520719546231;975000;16
975;1520719546582;976000;17
976;1520719546935;977000;16
977;1520719547288;978000;20
978;1520719547641;979000;16
979;1520719547991;980000;18
980;1520719548343;981000;19
981;1520719548694;982000;16
982;1520719549045;983000;15
983;1520719549398;984000;21
984;1520719549749;985000;17
985;1520719550100;986000;17
986;1520719550449;987000;18
987;1520719550799;988000;18
988;1520719551150;989000;17
989;1520719551502;990000;15
990;1520719551854;991000;15
991;1520719552207;992000;15
992;1520719552558;993000;20
993;1520719552911;994000;18
994;1520719553263;995000;19
995;1520719553619;996000;19
996;1520719553974;997000;19
997;1520719554325;998000;17
998;1520719554676;999000;15
999;1520719555026;1000000;20
1000;1520719555387;1001000;19
1001;1520719555760;1002000;17
1002;1520719556110;1003000;18
1003;1520719556462;1004000;17
1004;1520719556814;1005000;21
1005;1520719557163;1006000;16
1006;1520719557516;1007000;22
1007;1520719557866;1008000;17
1008;1520719558219;1009000;18
1009;1520719558567;1010000;14
1010;1520719558922;1011000;22
1011;1520719559272;1012000;19
1012;1520719559621;1013000;15
1013;1520719559978;1014000;14
1014;1520719560329;1015000;16
1015;1520719560678;1016000;16
1016;1520719561026;1017000;16
1017;1520719561377;1018000;16
1018;1520719561726;1019000;18
1019;1520719562077;1020000;16
1020;1520719562428;1021000;20
1021;1520719562779;1022000;21
1022;1520719563129;1023000;17
1023;1520719563480;1024000;21
1024;1520719563829;1025000;17
1025;1520719564180;1026000;17
1026;1520719564529;1027000;16
1027;1520719564882;1028000;21
1028;1520719565233;1029000;19
1029;1520719565580;1030000;16
1030;1520719565929;1031000;19
1031;1520719566278;1032000;20
1032;1520719566627;1033000;17
1033;1520719566975;1034000;17
1034;1520719567326;1035000;18
1035;1520719567675;1036000;16
1036;1520719568026;1037000;16
1037;1520719568375;1038000;18
1038;1520719568726;1039000;20
1039;1520719569075;1040000;15
1040;1520719569424;1041000;20
1041;1520719569772;1042000;15
1042;1520719570120;1043000;22
1043;1520719570466;1044000;17
1044;1520719570813;1045000;18
1045;1520719571163;1046000;22
1046;1520719571510;1047000;18
