Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
808;1520719487062;1520719487062
809;1520719487419;1520719487419
810;1520719487775;1520719487775
811;1520719488131;1520719488131
812;1520719488488;1520719488488
813;1520719488849;1520719488849
814;1520719489207;1520719489207
815;1520719489563;1520719489563
816;1520719489922;1520719489922
817;1520719490282;1520719490282
818;1520719490638;1520719490638
819;1520719490995;1520719490995
820;1520719491352;1520719491352
821;1520719491710;1520719491710
822;1520719492070;1520719492071
823;1520719492429;1520719492429
824;1520719492787;1520719492787
825;1520719493144;1520719493144
826;1520719493499;1520719493499
827;1520719493857;1520719493857
828;1520719494215;1520719494216
829;1520719494574;1520719494574
830;1520719494930;1520719494930
831;1520719495289;1520719495289
832;1520719495675;1520719495675
833;1520719496036;1520719496037
834;1520719496394;1520719496394
835;1520719496755;1520719496755
836;1520719497122;1520719497122
837;1520719497482;1520719497482
838;1520719497840;1520719497840
839;1520719498198;1520719498199
840;1520719498555;1520719498555
841;1520719498909;1520719498910
842;1520719499265;1520719499265
843;1520719499620;1520719499620
844;1520719499974;1520719499974
845;1520719500328;1520719500328
846;1520719500684;1520719500684
847;1520719501047;1520719501047
848;1520719501400;1520719501400
849;1520719501755;1520719501756
850;1520719502112;1520719502112
851;1520719502470;1520719502471
852;1520719502827;1520719502827
853;1520719503182;1520719503182
854;1520719503538;1520719503538
855;1520719503895;1520719503895
856;1520719504250;1520719504251
857;1520719504606;1520719504606
858;1520719504965;1520719504965
859;1520719505318;1520719505318
860;1520719505674;1520719505674
861;1520719506034;1520719506034
862;1520719506388;1520719506388
863;1520719506746;1520719506746
864;1520719507104;1520719507105
865;1520719507460;1520719507460
866;1520719507817;1520719507817
867;1520719508170;1520719508170
868;1520719508528;1520719508528
869;1520719508885;1520719508885
870;1520719509239;1520719509239
871;1520719509595;1520719509595
872;1520719509950;1520719509950
873;1520719510303;1520719510304
874;1520719510656;1520719510656
875;1520719511013;1520719511013
876;1520719511367;1520719511367
877;1520719511719;1520719511719
878;1520719512075;1520719512075
879;1520719512431;1520719512431
880;1520719512786;1520719512786
881;1520719513145;1520719513145
882;1520719513501;1520719513501
883;1520719513857;1520719513857
884;1520719514212;1520719514212
885;1520719514569;1520719514569
886;1520719514927;1520719514927
887;1520719515279;1520719515279
888;1520719515635;1520719515635
889;1520719515991;1520719515992
890;1520719516345;1520719516345
891;1520719516704;1520719516704
892;1520719517064;1520719517064
893;1520719517419;1520719517420
894;1520719517774;1520719517774
895;1520719518131;1520719518131
896;1520719518486;1520719518486
897;1520719518839;1520719518839
898;1520719519193;1520719519193
899;1520719519548;1520719519548
900;1520719519901;1520719519901
901;1520719520255;1520719520255
902;1520719520609;1520719520610
903;1520719520966;1520719520966
904;1520719521320;1520719521320
905;1520719521675;1520719521675
906;1520719522031;1520719522031
907;1520719522384;1520719522384
908;1520719522742;1520719522742
909;1520719523095;1520719523095
910;1520719523450;1520719523450
911;1520719523806;1520719523806
912;1520719524160;1520719524160
913;1520719524518;1520719524518
914;1520719524873;1520719524873
915;1520719525227;1520719525227
916;1520719525580;1520719525580
917;1520719525933;1520719525933
918;1520719526287;1520719526287
919;1520719526640;1520719526640
920;1520719526997;1520719526997
921;1520719527372;1520719527372
922;1520719527729;1520719527729
923;1520719528133;1520719528133
924;1520719528490;1520719528490
925;1520719528850;1520719528850
926;1520719529226;1520719529226
927;1520719529593;1520719529594
928;1520719529952;1520719529952
929;1520719530305;1520719530305
930;1520719530665;1520719530665
931;1520719531023;1520719531024
932;1520719531375;1520719531375
933;1520719531728;1520719531728
934;1520719532119;1520719532119
935;1520719532474;1520719532474
936;1520719532828;1520719532828
937;1520719533183;1520719533183
938;1520719533536;1520719533536
939;1520719533886;1520719533886
940;1520719534243;1520719534243
941;1520719534598;1520719534598
942;1520719534952;1520719534952
943;1520719535303;1520719535303
944;1520719535654;1520719535654
945;1520719536008;1520719536008
946;1520719536359;1520719536360
947;1520719536712;1520719536712
948;1520719537063;1520719537063
949;1520719537417;1520719537417
950;1520719537769;1520719537769
951;1520719538121;1520719538121
952;1520719538476;1520719538476
953;1520719538831;1520719538831
954;1520719539184;1520719539185
955;1520719539537;1520719539537
956;1520719539890;1520719539890
957;1520719540242;1520719540242
958;1520719540600;1520719540600
959;1520719540953;1520719540953
960;1520719541301;1520719541301
961;1520719541653;1520719541653
962;1520719542004;1520719542004
963;1520719542356;1520719542356
964;1520719542707;1520719542707
965;1520719543062;1520719543063
966;1520719543416;1520719543416
967;1520719543770;1520719543770
968;1520719544120;1520719544120
969;1520719544469;1520719544470
970;1520719544820;1520719544820
971;1520719545171;1520719545171
972;1520719545526;1520719545526
973;1520719545879;1520719545879
974;1520719546231;1520719546231
975;1520719546582;1520719546582
976;1520719546935;1520719546935
977;1520719547288;1520719547288
978;1520719547640;1520719547640
979;1520719547991;1520719547991
980;1520719548342;1520719548343
981;1520719548694;1520719548694
982;1520719549045;1520719549045
983;1520719549398;1520719549398
984;1520719549748;1520719549748
985;1520719550099;1520719550099
986;1520719550449;1520719550449
